,sort_name,df_min,df_max,appearances,review,name,address,pro_score,sentiment
78,houdini kitchen laboratory,131,132,2,"Located in an industrial stretch of Ridgewood, this inventive pizzeria pulls off a number of tricks with carefully curated ingredients. Taking residence in a repurposed brewery built in the late 1800s, the red brick structure sits near the borough’s massive cemeteries where this establishment’s namesake has been laid to rest. While the 'lab' isn't large, it feels cavernous nonetheless, thanks to high ceilings, sparse digs that include a sprinkling of tables with views of the cement dome oven and an ample covered terrace. Tuck in to salads, homemade pastas and burrata, as well as wood-fired pies that include the Guido BK which celebrates the bitter beauty of broccoli rabe and shares its charred crust with red wine-cured sausage and mozzarella.Ridgewood’s hottest pizza hangout. Is it the next Roberta’s?It’s a shame that more restaurants don’t have excellent names. People love to say, “Hey, that’d be a great name for a band!” but rarely, “Hey, that’d be a great name for a restaurant.” As a result, most new restaurants end up being called something like “The [Insert A Random Non-English Noun]” or “[Insert A Random Workshop Tool] & [Insert A Random Obscure Animal].”Pizza, Italian, Queens, Big Groups, Delivery, Outdoor/Patio Situation, ",Houdini Kitchen Laboratory,,0.6156351791530942,0.9557925722764123
79,house of pizza and calzone,133,133,1,"The Vibe: This neighborhood pizzeria ""has been servicing the working waterfront and it’s residents for over 60 years. Still located on the same block it originated back in the early 50’s,""  Stop in for authentic Brooklyn pizza.  ",House of Pizza and Calzone,"132 Union St, Brooklyn, NY 11231-2983, USA",0.5211726384364819,0.0
80,industry kitchen,134,134,1,"Industry Kitchen is a good spot to day drink outside with a group near the South Street Seaport.You may know Industry Kitchen as the place with a $2000 pizza on the menu, but unless you desperately want to eat golden leaves, you should know this spot for its outdoor seating situation. It’s on the East River near the South Street Seaport, and has a lot of tables next to the running path with great views of the river and Brooklyn. If you do want some food, the thin-crust pizzas are actually pretty good, like the $16 margherita pie that’s more than enough for one person.American, Bar Food, Pizza, Financial District, Big Groups, Day Drinking, Drinks & A Light Bite, Lunch, Outdoor/Patio Situation, ",Industry Kitchen,,0.016286644951140017,0.8677919051766445
81,italy pizza,135,135,1,"Are you a fan of the white slice? This narrow pizzeria — with a stamped-tin ceiling and other features that telegraph its age — specializes in these slices, with a white pie always displayed on the counter. The cheese is profusely laid on, with so much garlic, you’ll be burping it for hours if not days afterwards. Lasagna, garlic knots, and salads are also recommended at this establishment in the Greenpoint business district, close to bars and clubs.",Italy Pizza,"800 Manhattan Ave, Brooklyn, NY 11222",0.45602605863192175,0.41405505376683155
82,ivanas pizzeria,136,136,1,"This ancient pizzeria retains its nostalgic, time-worn décor, including dozens of framed photographs from the last six decades. The location is iconic: in the midst of the Bronx’s Little Italy (a/k/a Belmont or Arthur Avenue), the pizza here is much better than at surrounding, snazzier pizzerias. Start with the modest cheese slice, which glistens with exuded oils, necessitating the classic New York fold. The slice is salty, the crust nicely browned, the ""bone"" (circumferential crust) almost non-existent. This constitutes one of the Bronx’s best slices, idiosyncratic and made with evident pride.",Ivana's Pizzeria,"2373 Arthur Ave, Bronx, NY 10458",0.45602605863192175,0.6776750037148436
83,j&v pizza,137,137,1,"The regular slice at this authentically retro Bensonhurst mainstay is very good, with salty cheese. There's a unique, crunchy grandma slice. But the Sicilian? Fantastic, light, and airy, with goopy cheese cascading down the sides. It's the thing to get.",J&V Pizza,6322 18th Avenue,0.260586319218241,0.6167639278448227
84,joe & pats,138,145,8,"This Staten Island mainstay is well worth a hop across the harbor for its incredible vodka pie, so-named for the vodka-infused sauce it incorporates, along with mozzarella and basil. Though the classic, thin-crust classic cheese pie—on offer by the pie or the slice—is always an excellent bet. The family-run pizzeria has a devout local following; with pies this good, it’s little wonder that it’s been in business since 1960.A photo of a slice from Staten Island legend Joe & Pat's is instantly recognizable: a super-thin, flat crust all the way to the edge, with discrete cubes of low-moisture mozzarella that melt into distinct blobs (rather than the full coverage that comes from using shredded cheese), against a background of very simple tomato sauce. Joe & Pat’s is a classic Staten Island pizza place.The vodka pie at Joe & Pats is one of the best pizzas you can eat in this city. Due to the thinness of the crust here, you probably don’t want to get more than one additional topping on any one pie, but that isn’t necessarily a bad thing. It means you can eat more pizza, which you will inevitably want to do here. If you don’t live in Staten Island, this place alone is worth the trip.Pizza, Italian, Big Groups, Casual Weeknight Dinner, Classic Establishment, Kids, Joe & Pat’s is the East Village location of a famous Staten Island pizza place. When we heard that Joe & Pat’s - one of our top 20 pizza places - had opened their first-ever Manhattan spot, we had two immediate thoughts, in this order: 1) We want vodka pizza and 2) Will it live up to the original? Good news: the pies here are as delicious and crackery-thin as they are at the original, and now, if you’re not a Staten Island resident, you won’t have to take a ferry to try some of the best pizza in the city. We especially like the vodka pie with cheese that mixes into the sauce like a tie-dye shirt, but you could conceivably eat non-pizza dishes here too, like chicken parm and baked clams. The space itself also feels a lot like the original, with walls covered in family photos and Italian Renaissance murals. Our only issue is that the prices are noticeably higher here than on Staten Island - although Manhattan tends to have that effect on things.Pizza, Italian, Casual Weeknight Dinner, Classic Establishment,  If you are a connoisseur of thin-crust pizza, get yourself to Joe & Pat's, which has been dishing it out since 1960, setting the bar for the crispy pies that typify the borough's pizza scene. ""It's thin crust, fresh sauce, and we use the cubed mozzarella so it has the spotty cheese on it,"" owner Casey Pappalardo said. ""It's a nice look."" Joe & Pat's, too, has come to Manhattan -- opening an outpost in lower Manhattan in April 2017 -- but, like Denino's, the original is worth visiting. The celebrated Staten Island pizza stalwart, open since 1960, has made its extra-crunchy, mozzarella-laden thin-crust pies available in the East Village. Co-owned by Casey Pappalardo, his father, and two uncles, the family-run place opened its first Manhattan location in spiffier digs than the original Joe & Pat’s. Here, there are wood tables, a full bar, and real plates instead of paper ones. In addition to pizza, expect well-executed takes on classic dishes like chicken parm and shrimp scampi.If you never leave Manhattan, you might think that Rubirosa is the only place that makes a super-thin-crust pie with excellent vodka sauce. This is not, however, the case. The vodka pie at Joe & Pat’s is only slightly inferior to the one at Rubirosa - and by that we mean that it’s one of the best pizzas you can eat in this city. Due to the thinness of the crust here, you probably don’t want to get more than one additional topping on any one pie, but that isn’t necessarily a bad thing. It means you can eat more pizza, which you will inevitably want to do here. If you don’t live in Staten Island, this place alone is worth the trip.Topped with creamy mozzarella melted in cubes upon a rich bed of savory tomato sauce spread to the edge of a thin crisp crust, a Joe & Pat’s pizza takes simple ingredients and prepares them exquisitely. It’s a recipe that has been perfected over the past 50 years and we hope it never changes. And now, you can get a taste at the East Vilalge outpost.Plain cheese",Joe & Pat’s Pizzeria,"4503, 168 1st Avenue, New York, NY 10009",2.856677524429967,0.9955744117456238
85,joes pizza,146,154,9,"Times Square becomes slightly more tolerable when you know there’s a Joe’s Pizza there. Joe’s is thin-crust royalty, and their Times Square location is right next to the 42nd Street N,R,Q,W station exit. So the next time you're in the area and need something fast - this is where you should be stopping.Pizza, Midtown, Pre-Theater Eats, Quick Eats, The Vitruvian Man and affordable West Village apartments and a classic New York slice. These are theoretical ideals of the perfect form, rather than actual realities. There are slice shops on every street in the city striving for that mix of foldable crust, stretching mozzarella, sweet tomato sauce, and droplets of grease - but none of them achieve the optimal balance like Joe’s. The Carmine Street pizza spot makes the best New York slice in New York. They fold like they’ve been constructed to have a perforated edge through the middle, and the evenly-coated mozzarella and sweet tomato sauce are in ideal proportion to the crust.Joe’s is home to the best slice of pizza in NYC. Full stop.Move over people, the champ is here. Joe’s is the best slice in Manhattan. It’s been like that forever and will remain that way for eternity. If you can make a case for any other slice on the island of Manhattan, please let us know. Then again, you can’t, so don’t bother.Pizza, Cheap Eats, Classic Establishment, Impressing Out of Towners, Quick Eats, When neoclassical slice-shop owners say they emulate the old-school joints that still obsess over quality, Joe’s is one of the places they’re talking about. The slices taste and look the way they did 30 years ago; there’s still a red border of pure tomato next to the outer crust, and the pies aren’t pulled from the oven until the cheese has a suntan.King of the neighborhood pizza parlors, Manhattan edition, Joe’s offers a slice magnificent in its plainness, appreciated by generations of New Yorkers and visitors. No frou-frou here, just a well-pureed sauce and just enough cheese — but not too much — and one of the city’s most perfect crusts. On the other hand, for just a bit more you can get the fresh mozzarella slice, with little annealed gobs of newly minted cheese. But the best-selling slice, according to a counter guy I talked to, is the pepperoni slice. Miraculously, new branches of this place near Union Square, Times Square, and in Williamsburg have not diminished its brilliance.Listen. Joe's is a good slice. A great one, depending on your level of inebriation, even. It's sweet and it's larger than your head and regardless of how that all makes you feel, you've gotta try it at least once.For a quick slice late-night—or any other time—you can’t beat this classic chain of Manhattan/Brooklyn pizzerias (the original West Village location opened in 1975). The thin-crust plain and pepperoni slices here are the real-deal, affordable, New York City-style pizza of your imagination—fast, easy, no-frills, but downright delicious. Happily, you’ll find consistent pizza goodness at any of Joe’s Pizza’s four outposts.Great pizza doesn’t have to cost an arm and a leg. Just look at Joe’s Pizza as the prime example. The pizza shop, which has been operating since 1975, has been serving up delicious slices for decades and at just $2.75 per slice. Tha means visitors can buy a slice for the same price as a subway ridePriceThis is the New York–iest of New York slices. It defines classic NY slice pizza—crisp, thin crust, crushed canned tomatoes as sauce, low-moisture mozzarella for cheese. Don't bother with the fresh-mozz slices—they're invariably bland. Joe's is so consistent in all its locations (a bunch of NYC shops and one in Shanghai) that I have dreams of it replacing every mediocre Famiglia in airports and malls and train stations everywhere.",Joe's Pizza,7 Carmine St.,3.1986970684039084,0.9970481539282194
86,johns of bleecker street,155,156,2,"This well-worn, wooden booth-lined place is one of the city’s oldest and justifiably famous pizzerias, opened in 1929 by John Sasso, an alum of Lombardi’s (like the founders of Patsy’s and Totonno’s). John’s serves its expertly charred coal-oven variety, which remains a faithful version of classic NY-style pizza, strictly by the pie. Try a plain pie, generously topped with sauce and cheese, or minimally accessorize with one of the traditional toppings available, like mushrooms. Prepare to wait in line.John's has been here for about as long as this city, and it'll be here long after we're all gone. The pizza is so, so good in all the ways you hope pizza will be: cheesy, sturdy, saucy, crunchy. Sit with a pie and clear plastic pitchers of Coke and beer, and feel the New York-ness of it all around you.",John's of Bleecker Street,"278 Bleecker Street, New York, NY, 10014",0.521172638436482,0.9268813194252618
87,julianas,157,161,5," Gather 'round for the saga of how acclaimed pizzaiolo Patsy Grimaldi came to Juliana's after running Grimaldi's, formerly known as Patsy's. Grimaldi learned the business at his uncle's restaurant Patsy's in East Harlem, one the city's great early pizzerias, and opened his own Patsy's under the Brooklyn Bridge in 1990. But in 1995 he was sued by the man who'd bought the East Harlem Patsy's, and the end result was a name change to Grimaldi's. In 1998, Grimaldi decided to get out of the pizza game, so he and his wife sold Grimaldi's to a customer. Over time, Grimaldi became frustrated with the way his namesake was being run, leading to bad blood as Grimaldi's expanded but its critical reputation suffered. When Grimaldi's moved a few doors down, Patsy Grimaldi wound up reclaiming his old space with another former customer of his, co-owner Matt Grogan. Unable to use either of his own names, Grimaldi christened the new restaurant with his mother's name: Juliana. ""I thought when I had the pizza for the first time in 1990, that not only was it the best pizza I had ever had in my life, but it was the best thing I ever had in my life,"" Grogan said. Grimaldi, 85, still comes in every night, and the pizza is made to his exacting standards, in a coal-fired oven and topped with ingredients like tomatoes that come from an Italian co-op that you can get only at Juliana's and one other restaurant, on the West Coast. The edges are blistered, the coal imparts a signature flavor and the decades of experience shine through in every perfect bite. ""We're not trying to make Italian pizza,"" Grogan said. ""We're making New York pizza, the way it was first made 100 years ago."" Patsy Grimaldi—the flour-dusted legend behind Grimaldi's, which has since changed hands—busts out of retirement to reclaim his pie shop's first location, along with its original coal oven. The octogenarian pizzaiolo–who learned to spin dough at age 13 in his Uncle Patsy Lancieri's Harlem institution—named the spot after his mother. The menu spotlights iconic red-sauce fare, including classic pies (Margherita, sausage and broccoli rabe), appetizers (eggplant rollatine, baked clams with parsley) and desserts (cannoli), but the New York icon mixed in a few nods to modern times, like a bagel-riffing pie made with lox and mascarpone. Juliana'sArmed with a tried-and-true coal oven, owner Patsy Grimaldi came out of retirement to to open his new Brooklyn Heights pizzeria called Juliana’s. He couldn't name it after himself because both his first and last name's were already taken by two of his biggest competitors: Patsy’s and Grimaldi's. This blistered beauty is a white pie topped with mozzarella, smokey scamorza affumicata, pancetta, scallions and oregon-grown white truffles in olive oil.No. 1 SpecialOne of the main pizza destinations in Brooklyn Heights.This is the main Grimaldi’s alternative. It’s only a few doors down from that more-famous pizzeria, and it gets pretty busy as well. That’s because Patsy Grimaldi opened it (after he sold Grimaldi’s). The pizza here is also in the chewy, charred Neapolitan style, and they use a coal-burning oven the same as their neighbor.Pizza, Brooklyn, Classic Establishment, Unique Dining Experience, None",Juliana's Pizza,"19 Old Fulton St, Brooklyn, NY",1.1400651465798042,0.9362169983726294
88,kesté,162,167,6,"Since owner Robert Caporuscio started slinging Neapolitan pies in 2009, Kesté has been among the city’s top places for the Southern Italian style of pizza. It’s comprised of extra-fine “00” Caputo flour, San Marzano tomatoes, and buffalo mozzarella, with a crisp-pillowy hybrid crust and premium, sparingly applied toppings. A dizzying range of dozens of pies are on offer, some starring harder-to-find toppings like walnut cream or bresaola. Caporuscio has expanded Keste to Fidi, with a 5,000-square-foot outpost that includes a pizza school helmed by Caporuscio’s daughter, Giorgia.As anticipated, Kesté serves up some of the best pizza in town.If there's one cuisine whose hype is usually warranted, it's pizza. Because of its universal nature, critics and ""the people"" will generally see eye to eye. At the end of the day most pizza is either fantastic or good enough and it doesn't take a food expert to distinguish between the two. With these facts in mind, The Infatuation was fired up to investigate New York Mag's declaration of Kesté as NYC's best pie of the moment.Pizza, Dining Solo, With the original located in the West Village (there are newer outposts Downtown and in Williamsburg, Brooklyn), Kesté offers pizza lovers both classic and creative Neapolitan pizzas that are prepared in a wood-fired oven. Chef Roberto Caporuscio grew up outside of Naples and learned his craft there before opening Kesté in New York City. Although homemade mozzarella cheese graces most of the pies, folks with dietary restrictions will love the gluten-free, vegetarian, and vegan offerings on the menu.It wasn’t that long ago that we picked Kesté’s pizza as New York’s numero uno. But don’t regard the pizzeria’s third-place ranking on this listicle as a sign that quality on Bleecker Street has slipped, or that Roberto Caporuscio has lost his touch. No, the pizza at Kesté is as good as ever — soft and tender, charred and chewy, and about as well balanced as Sting and Trudie Styler in the yab-yum pose. No, what’s happened is that the craze for Neapolitan pizza Kesté helped ignite has created a lot of competition, which is not a bad thing for Neapolitan pizza fans.How blessed are we to live in a day and age that such a thing as burrata pizza exists? And, furthermore, that there are people who've mastered the hell out of it?Mamma mia! New York’s love affair with Kesté shows no sign of stopping. This kitchen begins with a puffy, blistered crust that’s perfectly salty and tangy, then tops it with ingredients like roasted butternut squash purée, smoked mozzarella and basil. And while its ingredients seem to have taken a small hit in recent years, that crust is still on point. Co-owner Roberto Caporuscio presides over the American chapter of Associazione Pizzaiuoli Napoletani, and his daughter, Giorgia, oversees the in-house pizza making operations. Diners can choose from more than 22 pizzas (including a few gluten-free options), a roster of calzoni and nightly pie specials. The restaurant is teeny-tiny, but diners are encouraged to linger, in true Italian hospitality.",Kesté Pizza & Vino,"271 Bleecker Street, New York, NY, 10014",1.8534201954397387,0.9887772425472084
89,kings pizza,168,168,1,"Located right around the corner from Kings Highway — hence the name — this grandstanding pizza parlor is especially orange in décor and delivers equally bold flavor. The bacon slice is wondrous, carpeted with smoked and crumbled pork belly, a greater quantity than you’d expect. The standard slice is of average thickness, with more cheese than usual and a little less sauce. Between 3 p.m. and 4 p.m., a tsunami of students, construction workers, and tradespeople blow in and throng the tiny shop.",King's Pizza,"1688 East 16th Street, Brooklyn, NY 11229",0.45602605863192175,0.6354142731854951
90,kingsbridge social club,169,169,1," Opened in March, this Bronx newcomer has carved out a unique niche in the local pizzeria landscape (and a special place in Bronx borough president Ruben Diaz's heart, so amNewYork has heard). The 12-inch, thin-crust pies here are ""Roman meets NYC-style,"" co-owner David Linsday, 47, says. They're baked in a rotating wood-fired but gas-assisted oven. That two-pronged heating formula gives the crust -- marked by a Chicago dish dish-esque lip at the edge -- both chewiness and crunch. As for toppings, Kingsbridge Social Club offers the kind of selection you'd see in the bougier parts of Brooklyn, but regulars favor the Cherry Bomb pie that comes with house-made meatballs, hot cherry peppers and bacon. Setting the establishment even further apart from its borough peers, it offers craft beers -- like Bronx Brewery's pale ale and Gun Hill's Void of Light -- on tap and in bottles. In warmer weather, you can drink your pint in the fenced-in, beer garden-type space outside. Indoors, colorful murals by local graffiti artist Tracy 168 along one wall and white subway tiles along another set the tone for a younger crowd. ",Kingsbridge Social Club,3625 Kingsbridge Ave,0.04885993485342016,0.46861093884074584
91,kiss my slice,170,170,1,"There is a kind of modern neighborhood pizza parlor that flaunts its creativity, turning out oddball slices that seek to compete with other forms of fast food, either by poaching on their territory, or just by jumping up and down and shouting, ""Me! Me! Me!"" The sassily named Kiss My Slice does both, as seen by a careful examination of its epic fried chicken and waffle slice. The waffle has been minced into individual boxes, the fried chicken cut in cubes, and a drizzle of pancake syrup, probably constituting the first time syrup has been put on a slice of pizza. Pineapple-and-pepperoni is another strange slice choice.",Kiss My Slice,"274 W 40th St, New York, NY 10018",0.45602605863192175,0.6167639278448227
92,korner pizza,171,171,1,"Open since 1966 on Kensington’s main drag, Korner is a neighborhood pizzeria par excellence, with a corner location boasting garden-style concrete tables out front for scarfing your slices, calzones, pastas, and heroes in fine weather. The inside dining room with the usual wavy-benched orange booths is equally comfortable, the walls plastered with photos and other reminiscences of Sicily. The regular cheese slice is perfection itself, with a lighter-than-air crust, thin coating of tomato sauce, and an extravagance of good cheese. For vegans, the broccoli rabe hero is recommended.",Korner Pizza,"226 Church Ave # 1, Brooklyn, NY 11218",0.45602605863192175,0.9531072603847358
93,l & b spumoni gardens,172,182,11,"One of the best around, assuming you can get down with a square slice. Who can’t get down with a square slice?A pizza and ice cream party. Every kindergartner’s favorite. Getting older means we are expected to attend more grown up celebrations (black tie weddings, baby showers, dog naming ceremonies), but at the end of the day, all anybody reeeaaallly wants is to hit up a pizza and ice cream party. And this is coming from a high-ranking member of the tribe of lactose intolerance. So, it is with great fanfare and noisemakers that we invite you to one of the city’s best pizza and ice cream parties - a meal out at L&B Spumoni Gardens.Pizza, Brooklyn, Big Groups, Birthdays, Cheap Eats, Kids, Literally Everyone, Outdoor/Patio Situation, NoneSince 1939, this Bensonhurst original—where muscle-bound Brooklynites with deep accents gather in the outdoor patio—has served one of the best Sicilian slices in town. Candy-sweet tomato sauce is generously slathered over tall, doughy rectangles with a crunchy browned bottom. It’s finished with squares of melted mozzarella and zippy strands of Parm.L&B Spumoni GardensWhen you go to L&B Spumoni, you get the Sicilian pizza. It’s thick and rectangular, with a crispy base and a large amount of dough that would be classified as medium rare if it were a steak. On top, you’ll find tomato sauce, melted cheese, then even more tomato sauce - producing something that almost feels like a lasagna, but better. There are layers to this pizza, and every slice is so substantial that you won’t ever need to add toppings. You do, however, need to end your meal with spumoni, and you should come at least once during the summer to eat takeout slices at one of the many tables outside.L&B is like a children’s birthday party, but better. Pizza and ice cream are what L&B, a local favorite out in south Brooklyn, are all about. You’ll want the famous square slice, and a cup of spumoni – a kind of Italian ice/ice cream hybrid.The long-cooked sauce is famous for two things: It goes on top of the cheese and it once sparked an interborough pizza dispute that involved alleged members of two mob families. L&B makes a regular slice, but almost everybody gets the squares: tallish, crunchy and browned underneath, with a thick, soft interior you can use for sponging up runaway sauce on your paper plate.Since 1939, this Bensonhurst original—where muscle-bound Brooklynites with deep accents gather in the outdoor patio—has served one of the best Sicilian slices in town. Candy-sweet tomato sauce is generously slathered over tall, doughy rectangles with a crunchy browned bottom. It’s finished with squares of melted mozzarella and zippy strands of Parm.SicilianWhen someone talks about an ""L&B–style slice,"" they're often talking about the way this legendary Gravesend pizzeria assembles its square pizzas: dough, slices of low-moisture mozzarella, then the sauce. This is followed by a dusting of grated Romano cheese all over, especially along the edges, where it bakes into the crust, creating a kind of accidental Parmesan stick—you know, like those breadsticks that have just a dusting of baked-on cheese. But there's more to it than that. The crust is like no other. The bottom is plenty crisp, but the interior is tender and soft—it's airy, even though it has a tight-to-medium crumb. Where the cheese and crust meet, the two become one. Some people find this off-putting because, when you bite in, it feels like the dough is undercooked. But, as Scott pointed out to us, this is a false ""gum line""—a line in the crust where the dough is still raw, which can happen in improperly cooked pizza. What's happening with L&B's is that your teeth push the melted cheese into the dough, creating the impression of a gum line. The L&B Sicilian slice really is its own thing. And let's be clear that we're talking only about the Sicilian here, because that is 100% the pizza they're known for. The square pie here has inspired many an imitator, but L&B still does it the best. A chewy, thick crust is topped first with the mozzarella, then with the tangy tomato sauce, then with a sprinkle of grated cheese. The flip of the cheese and the sauce seems simple, but it changes the whole texture of the pizza, setting it apart from other Sicilian slices and creating a different mouth feel as you get a hit of the soft, acidic sauce before encountering the snap of the cheese and chew of the curst. At the end of the slice you get to the crispy, charred edge. You will want another. And then another. But don't forget to save room for the namesake spumoni, best enjoyed outside in the ""garden"" -- a concrete slab full of red chain-link tables -- on your way home from the beach on a summer day. First opened in 1939, L&B Spumoni Gardens in Bensonhurst, Brooklyn, is most famous for its Sicilian pie, spumoni, and Italian ices. They have casual outdoor seating, perfect for when the weather is nice, as well as a more formal inside dining room with a full menu of classic red-sauce Italian cuisine. Their signature upside-down Sicilian pie (the sauce goes on top of the cheese) has a thick crust and is baked on a sheet pan, yielding square portions that are counted among the best Sicilian or “square” slices in the city. With lots of room for running around and high chairs available, the atmosphere is very family-friendly.The Vibe: L & B Spumoni Gardens evokes feelings of authentic Brooklyn, and locals hang out on the red picnic benches chatting as they devour some of the best pizza in Brooklyn.",L & B Spumoni Gardens,"2725 86th St, Brooklyn, NY 11223-3507, USA",4.149837133550487,0.9981544144925435
94,lamico,183,183,1,"The biggest beef New Yorkers have with  authentic Naples-style pizza is that it’s excessively doughy and also wet and floppy in the middle, a condition that encourages  otherwise upstanding citizens to abandon all propriety and eat their pizza with a knife and fork. Laurent Tourondel’s solution: Just use less dough per pie. Twenty percent less dough to be precise. This makes for a wood-fired pizza that  exemplifies all the winning  attributes of the  Neapolitan model — light and airy with just the right amount of tender chew and an aggressively charred cornicione (outer rim) that yields to none in the big-and-tall department — but without the droopy slices. Tourondel’s toppings strike a nice balance between classic and creative, too, and his clam pie, a recent addition to the lineup, is the best you’ll find this side of New Haven.",L’Amico,,0.16286644951140056,0.7395966394655525
95,layla jones,184,184,1,"The Vibe: This casual family run Cobble Hill restaurant serves pizza, pasta, press sandwiches and salads. The roomy backyard is the ideal place to dine when the weather is nice. Grab a picnic bench and relax at this family friendly spot.", Layla Jones ,"214 Court St, Brooklyn, NY 11201-6405, USA",0.5048859934853418,0.8602532147367029
96,lees tavern,185,187,3,"Lee’s Tavern is a sports bar and Staten Island pizza institution.Lee’s Tavern is a Staten Island sports bar institution with excellent, crackery thin crust pizza. The pies here have slightly charred bottoms and you could break the crust bubbles with a single little tap. Get the clam pizza (or do half and half with the cheese or pepperoni pie). The cheese, clams, and briny sauce have the exact right level of saltiness, with crust so thin that you’ll feel okay eating four slices while watching the end of a Yankees game. And then you’ll ask yourself if that was really necessary. The answer is yes, especially because you’re now an accidental Yankees fan.Bar Food, Pizza, Casual Weeknight Dinner, Classic Establishment, Lunch, Sports!,  Lee's Tavern is the other giant of the Staten Island pizza scene -- lower-key, perhaps, but no less beloved and storied than Denino's, and home to the island's best clam pie: a white pie covered in chopped clams and a heavy helping of garlic. But pies are available (and delicious) in every variety, served both bar-sized (pictured) and full-sized. ""It's a very thin, crispy pizza. That's the way I like it,"" owner Diego Palemine said. ""To me, if it gets too thick then it's like eating a loaf of bread."" Lee's claims the prize of making the favorite pizza of Staten Island Borough President James Oddo, who grew up in the neighborhood, but it appeals to plenty out-of-towners too. ""There's no sign, there's no website. I have a rotary phone. There's no wifi,"" Palemine said. ""But I get people all the time, all different tourists -- more so in the last 5 or 10 years, the tourists have definitely come more. It's very convenient, we're right by the train."" Lee’s Tavern is a Staten Island sports bar institution with excellent, crackery thin crust pizza. The pies have slightly charred bottoms and you could break the crust bubbles with a single little tap. Get the clam pizza (or do half and half with the cheese or pepperoni pie). The cheese, clams, and briny sauce have the exact right level of saltiness, with crust so thin that you’ll feel okay eating four slices while watching the end of a Yankees game. And then you’ll ask yourself if that was really necessary. The answer is yes, especially because you’re now an accidental Yankees fan.",Lee's Tavern,60 Hancock St.,1.335504885993485,0.9843848525442935
97,levante,188,188,1,"Levante is a Neapolitan pizza spot in Long Island City.Levante is a modern space in LIC serving a long menu of Neapolitan pizzas, pastas, salads, and more Italian food. But you come here for the pizza, which ranges from a simple spicy pepperoni (their best one) to a burrata, mozzarella, mushroom, and truffle pie. It’s good pizza (not great pizza), and it’s also a little pricey. But if you’re in the neighborhood and want to eat a pizza at the bar, this place would work well. At the moment, they don’t have a liquor license.Pizza, Italian, Casual Weeknight Dinner, ",Levante,,0.016286644951140017,0.8272759214389849
98,lido harlem,189,189,1,"Lido is a neighborhood Italian spot in Harlem that also does a serious bottomless brunch.If you hit Lido in the evening, you’d just assume it was another reliable, slightly romantic neighborhood Italian place. And it is. But if you visit on a weekend day, you’ll find a bottomless brunch situation that people take very seriously. For $16, you’ll get two hours of all the mimosas you want, along with brunch food that’s certainly not mind-blowing, but also much better than it needs to be after an hour of never-ending mimosas.Pizza, Italian, Brunch, First/Early in the Game Dates, ",Lido Harlem,,0.25732899022801287,0.35735738079906687
99,lil frankies,190,191,2,"The whole thing is another experience in and of itself. Go with a huge group, order all the things, have yourself a great, pizza- (and calamari-) filled time.Whatever your restaurant need, Lil Frankie’s can probably solve it. This is the ultimate utility player.A while back, we invented a game. This game is called “Can Lil Frankie’s Fix Your Dining Dilemma?” The best thing about this game is that you almost always win.Pizza, Pasta, Italian, Big Groups, Birthdays, Brunch, Late Night Eats, Literally Everyone, ",Lil Frankie’s,"19 1st Avenue, New York, NY, 10003",0.5537459283387621,0.8629286148124548
100,lillian pizzeria,192,192,1,The pizza gods shined on central Forest Hills in 2018 when Lillian began delivering its incredible pies. Simply awesome traditional New York pizza.,Lillian Pizzeria,,0.13029315960912052,0.5867560524242568
101,lindustrie,193,194,2,"When L'Industrie opened in 2015 under its original French owner, the tiny Williamsburg shop was making fairly pedestrian pies that garnered little attention. But when current owner Massimo Laveglia took over in early 2017, he changed everything but the name, overhauling the pizza while steadily building a reputation for stellar pies and slices. The Florence native made the best slice of the day on our Brooklyn pizza crawl, and it's been consistently good on subsequent visits—superb crust, char, air, texture. ""It's the re-Italianization of pizza, and not in a way that says one way is right and one way is wrong,"" says Scott. ""It's not an Italian machismo thing; it's more like, this Italian guy making New York–style pizza, but in a way he would do naturally, so his ricotta dabs are more floral-looking—it's just a really cool, good pie, in a tiny, 300-square-foot space."" Don't miss the burrata slice, which is blowing up Instagram.L’Industrie is a cash-only pizza spot in Williamsburg with over 30 different types of pies.Some people view a backwards-facing camera as the most important feature of a car, and others care about how fast it can go from 0 to 60. Neither one is necessarily correct - safety is important, as is the ability to win street races. People also consider different factors when evaluating pizza. If you’re someone who cares more about toppings than crust, then you’ll enjoy the huge variety of pizzas at L’Industrie.Pizza, Cheap Eats, Lunch, Quick Eats, Serious Take-Out Operation, ",L’Industrie Pizzeria,254 South 2nd Street,0.5016286644951138,0.9800054898872361
102,lions & tigers & squares,195,196,2,"Lions & Tigers & Squares is a pizza counter in Chelsea with excellent and affordable Detroit-style pies. Lions & Tigers & Squares serves Detroit-style pizza (i.e. rectangular pan pies with sauce on top of the cheese) in to-go boxes. You can only order a pie here, which consists of four thick slices and costs around $7. We like the classic a lot - the only problem is that there’s nowhere to sit down while you eat.Pizza, Casual Weeknight Dinner, Quick Eats, Just as its name suggests, this counter- and standing-only spot serves Detroit-style pizza. No slices here: Pizza is served by the personal-sized pie, which comes cut into four squares.",Lions & Tigers & Squares Detroit Pizza,"268 W 23rd St, New York, NY 10011",0.276872964169381,0.3266617061539126
